uprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,poboxnumber,subname,name,number,streetname,locality,townname,islandname,postcode,fulladdress,country,alternatelanguagesubname,alternatelanguagename,alternatelanguagenumber,alternatelanguagestreetname,alternatelanguagelocality,alternatelanguagetownname,alternatelanguageislandname,alternatelanguage,alternatelanguagefulladdress,floorlevel,lowestfloorlevel,highestfloorlevel,classificationcode,classificationdescription,primaryclassificationdescription,secondaryclassificationdescription,tertiaryclassificationdescription,quaternaryclassificationdescription,buildstatus,buildstatusdate,addressstatus,postcodesource,parentuprn,rootuprn,hierarchylevel,usrn,usrnmatchindicator,localcustodiancode,localcustodiandescription,lowertierlocalauthoritygsscode,easting,northing,latitude,longitude,geometry,positionalaccuracy,effectivestartdate,effectiveenddate
10094201278,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FLAT 59,ATLAS HOUSE,,HEAVITREE ROAD,,EXETER,,EX1 2FR,"FLAT 59, ATLAS HOUSE, HEAVITREE ROAD, EXETER, EX1 2FR",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2019-06-20,Approved,A record which is linked to PAF,10094201219,10094201219,2,14200380,Manually Matched,1110,EXETER,E07000041,293210.17,92632.95,50.7234642,-3.5142763,POINT(293210.17 92632.95),Central Internal Position,2018-04-04,
10013039175,2024-05-29,2024-05-30T00:00:00.000Z,,Modified Attributes,Address,Postal Address,BEIJING BEIJING,,,,50,QUEEN STREET,,EXETER,,EX4 3SR,"BEIJING BEIJING, 50, QUEEN STREET, EXETER, EX4 3SR",England,,,,,,,,,,,,,CR07,Restaurant / Cafeteria,Commercial,Retail,Restaurant / Cafeteria,,Built In Use,2010-09-23,Approved,A record which is linked to PAF,,10013039175,1,14200684,Manually Matched,1110,EXETER,E07000041,291736.00,93048.00,50.7269223,-3.5352752,POINT(291736 93048),Central Internal Position,2005-07-07,
10094733392,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,ROOM 4,DIANA SUITE STUDY INN,,WALNUT GARDENS,,EXETER,,EX4 4DH,"ROOM 4, DIANA SUITE STUDY INN, WALNUT GARDENS, EXETER, EX4 4DH",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2021-11-01,Approved,A record which is postal and has a parent record which is linked to PAF,10094733358,10094733354,3,14202282,Manually Matched,1110,EXETER,E07000041,291397.89,93070.67,50.7270629,-3.5400705,POINT(291397.89 93070.67),General Internal Position,2021-06-30,
10094733468,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,STUDIO 1,STUDY INN,,WALNUT GARDENS,,EXETER,,EX4 4DH,"STUDIO 1, STUDY INN, WALNUT GARDENS, EXETER, EX4 4DH",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2021-09-01,Approved,A record which is identified as postal based on Local Authority information,10094733354,10094733354,2,14202282,Manually Matched,1110,EXETER,E07000041,291397.89,93070.67,50.7270629,-3.5400705,POINT(291397.89 93070.67),General Internal Position,2021-06-30,
10094736687,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Non Addressable Object,,,,,88-95,BARTHOLOMEW STREET WEST,,EXETER,,EX4 3AL,"88-95, BARTHOLOMEW STREET WEST, EXETER, EX4 3AL",England,,,,,,,,,,,,,PP,Property Shell,Parent Shell,Property Shell,,,Built In Use,2024-01-31,Approved,Not Postal Address,,10094736687,1,14200057,Manually Matched,1110,EXETER,E07000041,291639.87,92322.44,50.7203818,-3.5364233,POINT(291639.87 92322.44),Central Internal Position,2024-01-31,
100040227452,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,19,PARK ROAD,,EXETER,,EX1 2HS,"19, PARK ROAD, EXETER, EX1 2HS",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040227452,1,14200626,Manually Matched,1110,EXETER,E07000041,293375.00,93221.00,50.7287809,-3.5121122,POINT(293375 93221),General Internal Position,2001-04-04,
100040234173,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,14,SOUTHGATE,,EXETER,,EX2 4DA,"14, SOUTHGATE, EXETER, EX2 4DA",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040234173,1,14200766,Manually Matched,1110,EXETER,E07000041,292097.00,92215.00,50.7195011,-3.5299185,POINT(292097 92215),Central Internal Position,2001-04-04,
100040217955,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,43,HOKER ROAD,,EXETER,,EX2 5HP,"43, HOKER ROAD, EXETER, EX2 5HP",England,,,,,,,,,,,,,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040217955,1,14200403,Manually Matched,1110,EXETER,E07000041,294223.00,92005.00,50.7180046,-3.4997522,POINT(294223 92005),Central Internal Position,2001-04-04,
100040211964,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,51,ELMSIDE,,EXETER,,EX4 6LS,"51, ELMSIDE, EXETER, EX4 6LS",England,,,,,,,,,,,,,RD02,Detached,Residential,Dwelling,Detached,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040211964,1,14200276,Manually Matched,1110,EXETER,E07000041,293110.00,93476.00,50.7310246,-3.5159395,POINT(293110 93476),Central Internal Position,2001-04-04,
100040220625,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,4,LANDSCORE ROAD,,EXETER,,EX4 1EW,"4, LANDSCORE ROAD, EXETER, EX4 1EW",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040220625,1,14200466,Manually Matched,1110,EXETER,E07000041,291017.00,92256.00,50.7196680,-3.5452240,POINT(291017 92256),General Internal Position,2001-04-04,
10094202687,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,47,EDWARDS COURT,,MILLBROOK LANE,,EXETER,,EX2 6FU,"47, EDWARDS COURT, MILLBROOK LANE, EXETER, EX2 6FU",England,,,,,,,,,,2,2.0,2.0,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2022-05-31,Approved,A record which is linked to PAF,10094202640,10094202640,2,14200558,Manually Matched,1110,EXETER,E07000041,293521.23,90764.21,50.7067220,-3.5093311,POINT(293521.23 90764.21),General Internal Position,2019-09-09,
10094203699,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,NEW COTTAGE,,TADDYFORDE ESTATE,,EXETER,,EX4 4AT,"NEW COTTAGE, TADDYFORDE ESTATE, EXETER, EX4 4AT",England,,,,,,,,,,,,,RD02,Detached,Residential,Dwelling,Detached,,Built In Use,2020-06-01,Approved,A record which is linked to PAF,,10094203699,1,14201567,Manually Matched,1110,EXETER,E07000041,291309.23,93663.84,50.7323787,-3.5415012,POINT(291309.23 93663.84),General Internal Position,2020-06-01,
10094203792,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,THIRD FLOOR FLAT 14,THE DEPOT,,BAMPFYLDE STREET,,EXETER,,EX1 2FW,"THIRD FLOOR FLAT 14, THE DEPOT, BAMPFYLDE STREET, EXETER, EX1 2FW",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2020-06-09,Approved,A record which is postal and has a parent record which is linked to PAF,10094201747,10094201747,2,14200045,Manually Matched,1110,EXETER,E07000041,292598.20,93011.71,50.7267562,-3.5230534,POINT(292598.2 93011.71),General Internal Position,2020-06-09,
10094200655,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,34,ELIZABETH AVENUE,,EXETER,,EX4 7EH,"34, ELIZABETH AVENUE, EXETER, EX4 7EH",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2018-10-02,Approved,A record which is linked to PAF,,10094200655,1,14200270,Manually Matched,1110,EXETER,E07000041,293350.22,93948.63,50.7353176,-3.5126739,POINT(293350.22 93948.63),General Internal Position,2017-10-10,
10094203877,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FIFTH FLOOR FLAT 29,THE DEPOT,,BAMPFYLDE STREET,,EXETER,,EX1 2FW,"FIFTH FLOOR FLAT 29, THE DEPOT, BAMPFYLDE STREET, EXETER, EX1 2FW",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2020-06-09,Approved,A record which is postal and has a parent record which is linked to PAF,10094201747,10094201747,2,14200045,Manually Matched,1110,EXETER,E07000041,292598.20,93011.71,50.7267562,-3.5230534,POINT(292598.2 93011.71),General Internal Position,2020-06-09,
10094203887,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FIFTH FLOOR FLAT 39,THE DEPOT,,BAMPFYLDE STREET,,EXETER,,EX1 2FW,"FIFTH FLOOR FLAT 39, THE DEPOT, BAMPFYLDE STREET, EXETER, EX1 2FW",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2020-06-09,Approved,A record which is postal and has a parent record which is linked to PAF,10094201747,10094201747,2,14200045,Manually Matched,1110,EXETER,E07000041,292598.20,93011.71,50.7267562,-3.5230534,POINT(292598.2 93011.71),General Internal Position,2020-06-09,
10094201774,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Non Addressable Object,,,,BS UNDER PLATFORM LINACRE HOUSE,,SOUTHERNHAY GARDENS,,EXETER,,EX1 1UG,"BS UNDER PLATFORM LINACRE HOUSE, SOUTHERNHAY GARDENS, EXETER, EX1 1UG",England,,,,,,,,,,,,,CB,Ancillary Building,Commercial,Ancillary Building,,,Built In Use,2018-07-23,Approved,Not Postal Address,,10094201774,1,14201842,Manually Matched,1110,EXETER,E07000041,292370.77,92441.26,50.7215859,-3.5261078,POINT(292370.77 92441.26),Central Internal Position,2018-07-23,
10094202001,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,14,THE COURTYARD,48,NEW NORTH ROAD,,EXETER,,EX4 4EP,"14, THE COURTYARD, 48, NEW NORTH ROAD, EXETER, EX4 4EP",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2019-10-02,Approved,A record which is linked to PAF,10013050473,10013050473,2,14200580,Manually Matched,1110,EXETER,E07000041,292241.40,93029.59,50.7268508,-3.5281119,POINT(292241.4 93029.59),General Internal Position,2018-12-18,
10094201367,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FLAT 13,BLOCKYARD,,LOWER ALBERT STREET,,EXETER,,EX1 2FS,"FLAT 13, BLOCKYARD, LOWER ALBERT STREET, EXETER, EX1 2FS",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2019-11-11,Approved,A record which is linked to PAF,10094201354,10094201354,2,14200497,Manually Matched,1110,EXETER,E07000041,292958.93,92968.05,50.7264304,-3.5179317,POINT(292958.93 92968.05),General Internal Position,2018-04-11,
10094201402,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FLAT 4,COLLEGIATE WEST GATE,,FROG STREET,,EXETER,,EX1 1FE,"FLAT 4, COLLEGIATE WEST GATE, FROG STREET, EXETER, EX1 1FE",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2019-11-11,Approved,A record which is postal and has a parent record which is linked to PAF,10094201384,10094201384,2,14200324,Manually Matched,1110,EXETER,E07000041,291698.64,92240.16,50.7196531,-3.5355669,POINT(291698.64 92240.16),General Internal Position,2018-05-10,
10094733139,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,PURE GYM LTD,,FIRST AND SECOND FLOORS,,177-181,FORE STREET,,EXETER,,EX4 3AX,"PURE GYM LTD, FIRST AND SECOND FLOORS, 177-181, FORE STREET, EXETER, EX4 3AX",England,,,,,,,,,,,,,CL06,Indoor / Outdoor Leisure / Sporting Activity / Centre,Commercial,Leisure - Applicable to recreational sites and enterprises,Indoor / Outdoor Leisure / Sporting Activity / Centre,,Built In Use,2021-06-21,Approved,A record which is postal and has a parent record which is linked to PAF,100041044797,100041044797,2,14200309,Manually Matched,1110,EXETER,E07000041,291858.24,92550.06,50.7224688,-3.5333978,POINT(291858.24 92550.06),Central Internal Position,2021-06-21,
10094733754,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,ROOM 5 GROUND FLOOR FLAT 4,BLOCK L EAST PARK,,RENNES DRIVE,,EXETER,,EX4 4GX,"ROOM 5 GROUND FLOOR FLAT 4, BLOCK L EAST PARK, RENNES DRIVE, EXETER, EX4 4GX",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2023-06-30,Approved,A record which is identified as postal based on Local Authority information,10094732366,10094203656,4,14200704,Manually Matched,1110,EXETER,E07000041,292274.00,94141.00,50.7368482,-3.5279753,POINT(292274 94141),General Internal Position,2021-07-14,
10094733971,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,ROOM 4 SIXTH FLOOR FLAT 3,BLOCK L EAST PARK,,RENNES DRIVE,,EXETER,,EX4 4GX,"ROOM 4 SIXTH FLOOR FLAT 3, BLOCK L EAST PARK, RENNES DRIVE, EXETER, EX4 4GX",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2023-06-30,Approved,A record which is identified as postal based on Local Authority information,10094732395,10094203656,4,14200704,Manually Matched,1110,EXETER,E07000041,292274.00,94141.00,50.7368482,-3.5279753,POINT(292274 94141),General Internal Position,2021-07-21,
10094735624,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,TIM BAILEY ARTIST STUDIO,,UNIT 4C,BAKERS YARD,,ALPHINBROOK ROAD,MARSH BARTON TRADING ESTATE,EXETER,,EX2 8RG,"TIM BAILEY ARTIST STUDIO, UNIT 4C, BAKERS YARD, ALPHINBROOK ROAD, MARSH BARTON TRADING ESTATE, EXETER, EX2 8RG",England,,,,,,,,,,,,,CO01,Office / Work Studio,Commercial,Office,Office / Work Studio,,Built In Use,2023-01-19,Approved,A record which is identified as postal based on Local Authority information,10013043645,10013043645,2,14200019,Manually Matched,1110,EXETER,E07000041,291879.45,90397.01,50.7031176,-3.5324659,POINT(291879.45 90397.01),General Internal Position,2023-01-19,
100040237171,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,140,TOPSHAM ROAD,,EXETER,,EX2 4RG,"140, TOPSHAM ROAD, EXETER, EX2 4RG",England,,,,,,,,,,,,,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040237171,1,14200855,Manually Matched,1110,EXETER,E07000041,292987.00,91428.00,50.7125910,-3.5170868,POINT(292987 91428),Central Internal Position,2001-04-04,
100040231054,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,44,REGENTS PARK,,EXETER,,EX1 2NY,"44, REGENTS PARK, EXETER, EX1 2NY",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040231054,1,14200702,Manually Matched,1110,EXETER,E07000041,293544.00,92765.00,50.7247126,-3.5095867,POINT(293544 92765),General Internal Position,2001-04-04,
100040237205,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,192,TOPSHAM ROAD,,EXETER,,EX2 4SH,"192, TOPSHAM ROAD, EXETER, EX2 4SH",England,,,,,,,,,,,,,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040237205,1,14200855,Manually Matched,1110,EXETER,E07000041,293173.00,91268.00,50.7111869,-3.5144069,POINT(293173 91268),Central Internal Position,2001-04-04,
100040226271,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,5,OAK ROAD,,EXETER,,EX4 1QB,"5, OAK ROAD, EXETER, EX4 1QB",England,,,,,,,,,,,,,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040226271,1,14200600,Manually Matched,1110,EXETER,E07000041,290567.00,91882.00,50.7162212,-3.5514852,POINT(290567 91882),Central Internal Position,2001-04-04,
100040232932,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,46,SANDFORD WALK,,EXETER,,EX1 2ES,"46, SANDFORD WALK, EXETER, EX1 2ES",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040232932,1,14200741,Manually Matched,1110,EXETER,E07000041,293004.00,92853.00,50.7254044,-3.5172599,POINT(293004 92853),Central Internal Position,2001-04-04,
100040229781,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,62,PRINCE CHARLES ROAD,,EXETER,,EX4 7EE,"62, PRINCE CHARLES ROAD, EXETER, EX4 7EE",England,,,,,,,,,,,,,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040229781,1,14200670,Manually Matched,1110,EXETER,E07000041,293803.00,93905.00,50.7350084,-3.5062474,POINT(293803 93905),General Internal Position,2001-04-04,
100040224504,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,70,MONKS ROAD,,EXETER,,EX4 7BE,"70, MONKS ROAD, EXETER, EX4 7BE",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040224504,1,14200564,Manually Matched,1110,EXETER,E07000041,293491.00,93494.00,50.7312564,-3.5105481,POINT(293491 93494),General Internal Position,2001-04-04,
100040236036,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,132,SWEETBRIER LANE,,EXETER,,EX1 3AR,"132, SWEETBRIER LANE, EXETER, EX1 3AR",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040236036,1,14200823,Manually Matched,1110,EXETER,E07000041,294666.00,92576.00,50.7232183,-3.4936423,POINT(294666 92576),Central Internal Position,2001-04-04,
100040226572,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,9,OLD BAKERY CLOSE,,EXETER,,EX4 2UZ,"9, OLD BAKERY CLOSE, EXETER, EX4 2UZ",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040226572,1,14201849,Manually Matched,1110,EXETER,E07000041,290812.00,93397.00,50.7298866,-3.5484651,POINT(290812 93397),General Internal Position,2001-04-04,
